customer_name,rating,review_text
Super nice product I will be happy for purchase this product,5,Nice mobile it's good one quality camera sound senses it's really amazing...
Chirag Raiyani,4,Good experience for realme 12+But kindly option available exchange offer other phone
utpal k.,5,Good phone at reasonable price with good features.
Amazon Customer,1,12+ 5g doesn't has SD processor. It has dimensity processor as per realme website.12+ pro has SD 7 gen2
MANOJ KUMAR NAYAK,3,Camera is okay type and battery is poor.
vinay ahire,4,Absolutely Value for money ðŸ’¯
KaYum Ansari,5,One of the best phone under 22K. Super fast charging and AMOLED display ðŸ¥°ðŸ¥°
Challa j k prasad,5,Good
Gaurav Singh,4,This budget range good phoneBattery goodCamera goodPerformance goodMy review after 20 days use
Akash,4,"The media could not be loaded.
                



Yellow screen issues, Somethimes it hangs while doing multitasking, Network issuesThese are not something you should very consern of I think it will get solved with updates else, Phone is great when it comes to camera, Speed or anything"
